"LkupReferenceID","FdReferenceName","FdCitationDescription"
"810","Leet, W.S., C.M. Dewees, and C.W. Haugen (Editors). 1992.","California's living marine resources and their utilization. California Sea Grant Extension Program, Department of Wildlife and Fisheries Biology, University of California, Davis, California Sea Grant Extension Publication UCSGEP-92-12. 257 p."
"811","Leithiser, R.M. 1981.","Distribution and seasonal abundance of larval fishes in a pristine southern California salt marsh. Rapports et proces-verbaux des reunions. Commission internationale pour l'Exloration scientifique de la Mer Medierranee 178:174-175."
"813","Lenarz, W.H. and T.W. Echeverria. 1991.","Sexual dimorphism in Sebastes. Environmental Biology of Fishes 30:71-80."
"814","Leos, R. 1992.","Sanddabs. In: W.S. Leet, C.M. Dewees, and C.W. Haugen (Editors), California's living marine resources and their utilization, p 104-105. California Sea Grant Extension Program, Department of Wildlife and Fisheries Biology, University of California, Davis, California Sea Grant Extension Publication UCSGEP-92-12."
"815","Leos, R. 1999.","A rose(fish) by any other name would smell. California Department of Fish and Game, California Groundfish Samplers' Newsletter, April 1999, Volume 2, No. 2."
"816","Levy, D.A. 1990.","Sex ratio variation in surf smelt, Hypomesus pretiosus, gillnet catches due to differences in mesh size. Journal of Fish Biology 37:493-494."
"817","Limbaugh, C. 1955.","Fish life in the kelp beds and the effects of kelp harvesting. Institute of Marine Resources, University of California La Jolla, IMR Reference 55-9, 158 p."
"818","Limbaugh 19??","Author was cited in Cailliet et al. 2000 but the full citation was missing."
"820","Limbaugh, C. 1956.","Cleaning symbiosis among motile organisms, its importance in biology. Paper, Western Society of Naturalists, December 27, 1956, Santa Barbara, California. 4 p."
"821","Limbaugh, C. 1961.","Cleaning symbiosis. Scientific American 1961(August):2-9."
"822","Limbaugh, C. 1964.","Notes on the life history of two Californian pomacentrids: Garabaldis, Hypsypops rubicunda (Girard), and blacksmiths, Chromis punctipinnis (Cooper). Pacific Science 18:41-50."
"825","Liston, J., J. Peters, and J.A. Stern. 1960.","Parasites in summer-caught Pacific rockfishes. U. S. Fish and Wildlife Service. Special Scientific Report-Fisheries, Report No. 352. Washington D.C."
"826","Lloyd, L.C. 1938.","Some digenetic trematodes from Puget Sound fish. The Journal of Parasitology. 24(2):103-125."
"827","Lockley, A.S. 1952.","Description of the young of the kyphosid fish, Hermosilla azurea, from California. Copeia 1952(1):42."
"828","Long, D.J. 1996.","First confirmed record of teleost predation on a shark egg case. California Department of Fish and Game 82(2):103-104."
"829","Love, M.S. and A.W. Ebeling. 1978.","Food and habitat of three switch-feeding fishes in the kelp forests off Santa Barbara, California. Fishery Bulletin 76(1):257-271."
"831","Love, M.S. and K. Johnson. 1998.","Aspects of the life histories of grass rockfish, Sebastes rastrelliger, and brown rockfish, S. auriculatus, from southern California. Fishery Bulletin 87:100-109."
"832","Love, M.S. and R.J. Larson. 1978.","Geographic variation in the occurrence of tympanic spines and possible genetic differentiation in the kelp rockfish (Sebastes atrovirens). Copeia 1978(1):53-59."
"833","Love, M. & Lea 1997","Author was cited in Cailliet et al. 2000 but the full citation was missing."
"835","Love, M.S. and M. Moser. 1983.","A checklist of parasites of California, Oregon, and Washington marine and estuarine fishes. NOAA Technical Report NMFS SSRF-777, 577 p."
"836","Love, M.S. and W.V. Westphal. 1981.","Growth, reproduction, and food habits of olive rockfish, Sebastes serranoides, off central California. Fishery Bulletin 79(3):533-545."
"837","Love, M.S. and W. Westphal. 1990.","Comparison of fishes taken by a sportfishing party vessel around oil platforms and adjacent natural reefs near Santa Barbara, California. Fishery Bulletin 88(3):599-605."
"838","Love, M.S. 1978.","Aspects of the life history of the olive rockfish (Sebastes serranoides). Ph.D. Thesis, University of California Santa Barbara. 185 p."
"839","Love, M.S. 1980.","Isolation of olive rockfish, Sebastes serranoides, populations off southern California. Fishery Bulletin 77(4):975-983."
"840","Love, M. 1986","Author was cited in Cailliet et al. 2000 but the full citation was missing."
"841","Love, M. 1992.","California scorpionfish. In: W.S. Leet, C.M. Dewees, and C.W. Haugen (Editors), California's living marine resources and their utilization, p 133-135. California Sea Grant Extension Program, Department of Wildlife and Fisheries Biology, University of California, Davis, California Sea Grant Extension Publication UCSGEP-92-12."
"842","Love, M. 1996.","Probably More Than You Want To Know About The Fishes Of The Pacific Coast. Really Big Press, Santa Barbara, California, 381 p."
"843","Love, M.S. and A. Brooks. 1990.","Size and age at first maturity of the California halibut, Paralichthys californicus in the Southern California Bight. California Department of Fish and Game, Fish Bulletin 174:167-174."
"847","Love, M.S., B. Axell, P. Morris, R. Collins, and A. Brooks. 1987.","Life history and fishery of the California scorpionfish, Scorpaena guttata, within the southern California bight. Fishery Bulletin 85(1):99-115."
"849","Love, M.S., P. Morris, M. McCrae, and R. Collins. 1990.","Life history aspects of 19 rockfish species (Scorpaenidae: Sebastes) from the Southern California Bight. NOAA Technical Report No. 87, 38 p."
"851","Love, M., D. Teebken-Fisher, J.E. Hose, J.J. Framer III, and G.R. Fanning. 1981.","Vibrio damsela, a marine bacterium, causes skin ulcers in the damselfish Chromis punctipinnis. Science 214:1139-1140."
"852","Love, M.S., G.E. McGowen, W. Westphal, R.J. Lavenberg, and K. Martin. 1984.","Aspects of the life history and fishery of the white croaker, Genyonemus lineatus (Sciaenidae), off California. Fishery Bulletin 82(1):179-198."
"853","Love, M.S., J.S. Stephens Jr., P. Morris, M.M. Singer, M. Sandhu, and T.C. Sciarrotta. 1986.","Inshore soft substrate fishes in the southern California Bight: An overview. California Cooperative Oceanic Fisheries Investigations Reports 27:84-106."
"856","Love, M.S., A. Brooks, D. Busatto, J.S. Stephens Jr., and P.A. Gregory. 1996.","Aspects of the life histories of the kelp bass, Paralabrax clathratus, and barred sand bass, Paralabrax nebulifer, from the southern California Bight. Fishery Bulletin 94(3):472-481."
"857","Love, M.S., L. Thorsteinson, C.W. Mecklenburg, and T.A. Mecklenburg. In Preparation (January 2000).","A checklist of marine and estuarine fishes of the Northeast Pacific, from Alaska to Baja California. National Biological Service. Located at website http://id-www.ucsb.edu/lovelab/home.html"
"858","Love, M.S., J.E. Caselle, and K. Herbinson. 1998.","Declines in nearshore rockfish recruitment and population in the southern California Bight as measured by impingement rates in coastal electrical power generating stations. Fishery Bulletin 96(3):492-501."
"859","Love, M., A.J. Brooks, and J.R.R. Ally. 1996.","An analysis of commercial passenger fishing vessel fisheries for kelp bass and barred sand bass in the southern California Bight. California Department of Fish and Game 82(6):105-121."
"862","Love, M.S., M.H. Carr, and L.J. Haldorson. 1991.","The ecology of substrate-associated juveniles of the genus Sebastes. Environmental Biology of Fishes 30:225-243."
"866","Low, C.J. and R.J. Beamish. 1978.","A study of the nesting behavior of lingcod (Ophiodon elongatus) in the Strait of Georgia, British Columbia. Canadian Fisheries and Marine Service Technical Report No. 843, 27 p."
"867","Lowe, C.G., R.N. Bray, and D.R. Nelson. 1994.","Feeding and associated electrical behavior of the Pacific electric ray Torpedo californica in the field. Marine Biology 120:161-169."
"868","Lowe, C.G., C.L. Snellen, and D. Topping. 2000.","Home range and habitat preferences of kelp bass (Paralabrax clathratus) in Big Fisherman's Cove marine reserve, Santa Catalina Island, California. Abstract, 80th Annual Meeting American Society of Ichthyologists and Herpetologists. June 14-20, 2000 La Paz, B.C.S., Mexico. p 235."
"869","Luckinbill, L.S. 1969.","Distribution and feeding relationships of the flatfishes Pleuronichthys verticalis and P. ritteri. M.S. Thesis, San Diego State University. 81 p."
"870","Macdonald, C.K. 1975.","Notes on the family Gobiidae from Anaheim Bay. California Department of Fish and Game, Fish Bulletin 165:117-122."
"871","Mace, P.M. 1983.","Predator-prey functional responses and predation by staghorn sculpins (Leptocottus armatus) on chum salmon fry (Oncorhynchus keta). Ph.D. Thesis, University of British Columbia, Vancouver. 695 p."
"873","MacGinitie, G.E. 1935.","Ecological aspects of a California marine estuary. The American Midland Naturalist 16(5):629-765."
"874","MacGregor, J.S. 1970.","Fecundity, multiple spawning, and description of the gonads in Sebastodes. U.S. Fish and Wildlife Service, Report No. 596, 12 p."
"875","MacGregor, J.S. 1983.","Growth of the blue rockfish (Sebastes mystinus). California Cooperative Oceanic Fisheries Investigations Reports 24:216-225."
"876","Mahan, W.T. 1985.","Initial growth rate and life expectancy of the bay pipefish Syngnathus leptorynchus from Humbolt Bay, California. Humbolt State University, Report No. TML-11."
"877","Manter, H.W. 1940","Digenetic trematodes of fishes from the Galapagos Islands and the neighboring Pacific. Allan Hancock Pacific Expeditions 2(14):329-496."
"878","Manter, H.W. and H.J. VanCleave. 1951.","Some digenetic trematodes, including eight new species, from marine fishes of La Jolla, California. Proceedings of the U.S. National Museum 101:315-340."
"879","Manzer, J.I. 1946.","Interesting movements as shown by the recoveries of certain species of tagged fish. Fisheries Research Board of Canada, Progress Reports of the Pacific Coast Stations 67:31."
"880","Manzer, J.I. 1947.","A July spawning population of sand soles in Sydney Inlet. Fisheries Research Board of Canada, Progress Reports of the Pacific Coast Stations 73:70-71."
"881","Marais, J.F.K. 1980.","Aspects of food intake, food selection, and alimentary canal morphology of Mugil cephalus (Linnaeus, 1958), Liza tricuspidens (Smith, 1935), L. richardsoni (Smith, 1846), and L. dumerili (Steindachner, 1869). Journal of Experimental Marine Biology and Ecology 44:193-209."
"882","Margulies, D. 1989.","Size-specific vulnerability to predation and sensory system development of white seabass, Atractoscion nobilis, larvae. Fishery Bulletin 87(3):537-552."
"883","Marliave, J.B. and E. DeMartini. 1977.","Parental behavior of intertidal fishes of the stichaeid genus Xiphister. Canadian Journal of Zoology 55:60-63."
"884","Marliave, J.B. 1975a.","The behavioral transformations from the planktonic larval stage of some marine fishes reared in the laboratory. Ph.D. Thesis, University of British Columbia, Vancouver. 231 p."
"885","Marliave, J.B. 1978.","Laboratory culture of wolf eels. Annual Proceedings of the American Association of Zoological Parks and Aquariums, p. 160-167."
"886","Marshall, W.H. and T. Wyllie Echeverria. 1992.","Age, length, weight, reproductive cycle and fecundity of the monkeyface prickleback (Cebidichthys violaceus). California Department of Fish and Game 78(2):57-64."
"887","Martin, W.E. 1978.","Digenetic trematodes of the marine fish, Girella nigricans (Ayres), from southern California with the description of two new species. Proceedings of the Helminthological Society of Washington 45(2):175-181."
"888","Martin, L.K. 1982.","Growth and reproduction of the bat ray Myliobatis californicus Gill, in California. M.A. Thesis, San Jose State University, 87 p."
"889","Martin, K.L.M. 1993.","Aerial release of CO2 and respiratory exchange ratio in intertidal fishes out of water. Environmental Biology of Fishes 37:189-196."
"890","Martin, K.L.M. 1995.","Time and tide wait for no fish: intertidal fishes out of water. Environmental Biology of Fishes 44:165-181."
"891","Martin, L.K. and G.M. Cailliet. 1988a.","Age and growth determination of the bat ray, Myliobatis californica Gill, in central California. Copeia 1988(3):762-773."
"892","Martin, L.K. and G.M. Cailliet. 1988b.","Aspects of the reproduction of the bat ray, Myliobatis californica, in Central California. Copeia 1988(3):754-762."
"894","Martin, L. and G.D. Zorzi. 1993.","Status and review of the California skate fishery. In: S. Branstetter (Editor), Conservation Biology Of Elasmobranchs, p. 39-52. NOAA Technical Report NMFS volume 115."
"895","Matarese, A.C., A.W. Kendall, Jr., D.M. Blood, and B.M. Vinter. 1989.","Laboratory guide to early life history stages of northeast Pacific fishes. NOAA Technical Report No. 80. 652 p."
"898","Mathews, C.P. 1975.","Note on the ecology of the ratfish, Hydrolagus collei, in the Gulf of California. California Department of Fish and Game 61(1):47-53."
"899","Mathews, S.B. and M. LaRiviere. 1987.","Movement of tagged lingcod, Ophiodon elongatus, in the Pacific Northwest. Fishery Bulletin 85:153-159."
"900","Mathews, S.B., M. LaRiviere, M.W. Barker, and L.L. Moulton. 1979.","Preliminary results of lingcod tagging in northern Puget Sound, 1977-1979. Fisheries Research Institute, University of Washington, Circular No. 79-3, 24 p."
"901","Matthews, K.R. 1985.","Species similarity and movements of fishes on natural and artificial reefs in Monterey Bay, California. Bulletin of Marine Science 37(1):252-270."
"902","Matthews, K.R. 1986.","Movement of two nearshore, territorial rockfishes previously reported as non-movers and implicati0ons to management. California Department of Fish and Game 72(2):103-109."
"904","Matthews, K.R. 1990b.","An experimental study of the habitat preference and movement patterns of copper, quillback, and brown rockfishes (Sebastes spp.). Environmental Biology of Fishes 30:161-178."
"905","Matthews, K.R. 1990c.","A telemetric study of the home ranges and homing routes of copper and quillback rockfishes on shallow rocky reefs. Canadian Journal of Zoology 68:2243-2250."
"906","Matthews, K.R. 1990a.","A comparartive study of habitat use by young-of-the-year, subadult, and adult rockfishes on four habitat types in central Puget Sound. Fishery Bulletin 88(2):223-239."
"907","Matthews, K.R. 1992.","A telemetric study of the home ranges and homing routes of lingcod Ophiodon elongatus on shallow rocky reefs off Vancouver Island, British Columbia. Fishery Bulletin 90(4):784-790."
"908","Matthews, K.R., B.S. Miller, and T.P. Quinn. 1986.","Movement studies of nearshore demersal rockfish in Puget Sound, Washington. In: Proceedings of the International Rockfish Symposium, Lowell Wakefield Fisheries Symposium, Anchorage, Alaska, USA, October 20-22, 1986. Alaska Sea Grant Report, No. 87-2, p 63-72."
"909","Maxwell, W.D. 1975.","The croakers of California. State of California Marine Resources Leaflet No. 8, 16 p."
"911","Maxwell, W.D. 1977.","Progress report of research on white seabass, Cynoscion nobilis. Marine Resources Administrative Report Report No. 77-14. 13 p."
"912","MBC Applied Environmental Sciences. 1987.","Ecology of important fisheries species offshore California. U.S. Department of the Interior, Minerals Management Service, Pacific OCS Region, Los Angeles, CA. MMS Contract No. 14-12-0001-30294"
"913","McAllister, D.E. 1968.","Poisonous and venomous fish of Canada. Natural History Papers of the National Museum of Canada No. 42:1-11."
"914","McCain, B.B., S.-L. Chan, M.M. Krahn, D.W. Brown, M.S. Myers, J.T. Landahl, S. Pierce, R.C. Clark Jr., and U. Varanasi. 1992.","Chemical contamination and associated fish disease in San Diego Bay. Environmental Science and Technology 26(4):725-733."
"915","McCall, J.N. 1992.","Source of harpacticoid copepods in the diet of juvenile starry flounder. Marine Ecology Progress Series 86:42-50."
"916","McClure, R.E. 1982.","Neritic reef fishes off central Oregon: Aspects of life histories and the recreational fishery. M.S. Thesis, Oregon State University. 94 p."
"917","McFarlane, G.A. and R.J. Beamish. 1986.","A tag suitable for assessing long-term movements of spiny dogfish and preliminary results from use of this tag. North American Journal of Fisheries Management 6(1):69-76."
"918","McFarlane, G.A. and R.J. Beamish. 1987.","Validation of the dorsal spine method of age determination for spiny dogfish. In: R.C. Summerfelt and G.E. Hall (Editors), The Age and Growth of Fish, p 287-300. The Iowa State University Press, Ames, Iowa."
"919","McKay, R.J. and M. Schneider. 1995.","Haemulidae. In: F.Fischer, F. Krupp, W. Schneider, C. Sommer, K.E. Carpenter, and V.H. Niem (Editors), Guia FAO para la identificacion de especies para los fines de la pesca. Pacifico centro-oriental. Volumen 2. Vertebrados-parte 1. FAO, Rome [In Spanish]. Pages 1136-1173."
"920","Mearns, A.J., M.J. Allen, M.D. Moore, and M.J. Sherwood. 1980.","Distribution, abundance, and recruitment of soft-bottom rockfishes (Scorpaenidae; Sebastes) of the southern California mainland shelf. California Cooperative Oceanic Fisheries Investigations Reports 21:180-190."
"921","Menasveta, D. 1958.","Migration and fishing mortality of English sole (Parophrys vetulus) in Saratoga Passage, and adjacent waters. M.S. Thesis, University of Washington. 84 p."
"922","Merkel, T.J. 1957.","Food habits of the king salmon Oncorhynchus tshawytscha (Walbaum), in the vicinity of San Francisco, California. California Department of Fish and Game 43(4):249-270."
"923","Middaugh, D.P. and J.M. Shenker. 1988.","Salinity tolerance of young topsmelt, Atherinops affinis, cultured in the laboratory. California Department of Fish and Game 74(4):232-235."
"924","Middaugh, D.P., H.W. Kohl, and L.E. Burnett. 1983.","Concurrent measurement of intertidal environmental variables and embryo survival for the California grunion, Leuresthes tenuis, and Atlantic silverside, Mendia menidia (Pisces: Atherinidae). California Department of Fish and Game, Fish Bulletin 69(2):89-96."
"925","Middaugh, D.P., M.J. Hemmer, and D.E. Penttila. 1987.","Embryo ecology of the Pacific surf smelt, Hypomesus pretiosus (Pisces: Osmeridae). Pacific Science 41:44-53."
"926","Middaugh et al. 1988","Author was cited in Cailliet et al. 2000 but the full citation was missing."
"927","Middaugh, D.P., M.J. Hemmer, J.M. Shenker, and T. Takita. 1990.","Laboratory culture of jacksmelt, Atherinopsis californiensis, and topsmelt, Atherinops affinis (Pisces: Atherinidae), with a description of larvae. California Department of Fish and Game 76(1):4-13."
"931","Miller, D.J. and R.N. Lea. 1972.","Guide to the coastal marine fishes of California. California Department of Fish and Game, Fish Bulletin 157, 249 p."
"932","Miller, K.A. and W.H. Marshall. 1987.","Food habits of large monkeyface prickleback, Cebidichthys violaceus. California Department of Fish and Game 73(1):37-44."
"933","Miller, A.H. 1943.","Census of a colony of Caspian terns. Condor 45(6):220-225."
"934","Miller, D.J. 1960a.","Blue Rockfish. In: California Ocean Fisheries Resources of the Year 1960, p 38-39. California Department of Fish and Game. 79 p."
"935","Miller, D.J. 1960b.","Olive rockfish. In: California Ocean Fisheries Resources to the year 1960, p 40. California Department of Fish and Game. 79 p."
"936","Miller, D.J. 1960c.","Redtail surfperch. In: California Ocean Fisheries Resources, p 62-63. California Department of Fish and Game. 79 p."
"937","Miller, D.J. 1960d.","Surfperches, Family Embiotocidae: Central and northern California. In: California ocean fisheries resources to the year 1960, p 61. California Department of Fish and Game. 79 p."
"938","Miller, B.S. 1965.","Food and feeding studies on adults of two species of pleuronectids (Platichthys stellatus and Psettichthys melanostictus) in East Sound, Orcas Island (Washington). M.S. Thesis, University of Washington. 131 p."
"939","Miller, B.S. 1967.","Stomach contents of the adult starry flounder and sand sole in East Sound, Orcas Island, Washington. Journal of the Fisheries Board of Canada 24(12):2515-2526."
"940","Miller 1982","Author was cited in Cailliet et al. 2000 but the full citation was missing."
"941","Miller, P.P. 1985.","Life history study of the shortspine thornyhead, Sebastolobus alascanus, at Cape Ommaney, Southeatern Alaska. M.S. Thesis, University of Alaska, Juneau."
"942","Miller, D.J. and J.J. Geibel. 1973.","Summary of blue rockfish and lingcod life histories; a reef ecology study; and giant kelp, Macrocystis pyrifera, experiments in Monterey Bay, California. California Department of Fish and Game, Fish Bulletin 158, 137 p."
"944","Miller, D.J., M.W. Odemar, and D.W. Gotshall. 1967.","Life history and catch analysis of the blue rockfish (Sebastodes mystinus) off central California, 1961-1965. California Department of Fish and Game, Marine Resources Operations Reference 67-14, 130 p."
"946","Misitano, D.A. 1976.","Size and stage of development of larval English sole, Parophrys vetulus, at time of entry into Humbolt Bay. California Department of Fish and Game 62(1):93-98."
"947","Mitchell, C.T. and J.R. Hunter. 1970.","Fishes associated with drifting kelp, Macrocystis pyrifera, off the coast of southern California and northern California. California Department of Fish and Game 56(4):288-297."
"948","Mitchell, D.F. 1953.","An analysis of stomach contents of California tide pool fishes. The American Midland Naturalist 49(3):862-871."
"949","Moffatt, N.M. and D.A. Thomson. 1978a.","Reciprocal hybridization between the California and Gulf of California grunions, Leuresthes tenuis and Leuresthes sardina. Fishery Bulletin 76(2):476-480."
"950","Moffatt, N.M. and D.A. Thomson. 1978b.","Tidal influence on the evolution of egg size in the grunion (Leuresthes, Atherinidae). Environmental Biology of Fishes 3:267-273."
"951","Monaco, M.E., R.L. Emmett, D.M. Nelson, and S.A. Hinton. 1990.","Distribution and abundance of fishes and invertebrates in west coast estuaries, Volume I: Data summaries. ELMR Report No. 4. NOAA/NOS Strategic Environmental Assessments Division. Silver Spring, Maryland, 232 p."
"952","Montgomery, W.L. 1977.","Diet and gut morphology in fishes, with special reference to the monkeyface prickleback, Cebidichthys violaceus (Stichaeidae: Blennioidei). Copeia 1977(1):178-182."
"953","Moravec, F. and T.E. McDonald. 1981.","Capillaria margolisi sp.nov. (Nematoda: Capillariidae) from a marine fish, Scorpaenichthys marmoratus (Ayres), from the west coast of Canada. Canadian Journal of Zoology 59:88-91."
"954","Morejohn, G.V., J.T. Harvey, and L.T. Krasnow. 1978.","The importance of Loligo opalescens in the food web of marine vertebrates in Monterey Bay, California. In: C.W. Recksiek and H.W. Frey (Editors), Biological, oceanographic, and acoustic aspects of the market squid, Loligo opalescens Berry. California Department of Fish and Game, Fish Bulletin No. 169:67-98."
"956","Moreno, G. 1990.","Description of the larval stages of five northern California species of rockfishes (Family Scorpaenidae) from rearing studies. M.S. Thesis, California State University Stanislaus. 69 p."
"957","Moreno, G. 1993.","Description of early larvae of four northern California species of rockfishes (Scorpaenidae: Sebastes) from rearing studies. NOAA Technical Report NMFS 116, 18 p."
"958","Morgan 1961","Author was cited in Cailliet et al. 2000 but the full citation was missing."
"959","Morris, R. 1956a.","Some aspects of the problem of rearing marine fishes. Bulletin de l'Institut Oceanographique No. 1082:1-60."
"960","Morris, R.W. 1956b.","Early larvae of four species of rockfish, Sebastodes. California Department of Fish and Game 42(2):149-153."
"961","Moser, H.G. and G.W. Boehlert. 1991.","Ecology of pelagic larvae and juveniles of the genus Sebastes. Environmental Biology of Fishes 30:203-224."
"963","Moser, H.G. and J.L. Butler. 1981.","Description of reared larvae and early juveniles of the calico rockfish, Sebastes dallii. California Cooperative Oceanic Fisheries Investigations Reports 22:88-95."
"964","Moser, H.G. and T. Pommeranz. 1999.","Vertical distribution of eggs and larvae of northern anchovy, Engraulis mordax, and of the larvae of associated fishes at two sites in the Southern California Bight. Fishery Bulletin 97(4):920-943."
"965","Moser, H.G. 1967.","Reproduction and development of Sebastodes paucispinis and comparison with other rockfishes off southern California. Copeia 1967(4):773-797."
"966","Moser, H.G. 1974.","Development and distribution of larvae and juveniles of Sebastolobus (Pices; family Scorpaenidae). Fishery Bulletin 72(4):865-884."
"967","Moser, H.G. (Editor). 1996a.","The early stages of fishes in the California Current region. California Cooperative Oceanic Fisheries Investigations, Atlas No. 33. Allen Press, Inc., Lawrence, Kansas. 1505 p."
"968","Moser, H.G. 1996b.","Sciaenidae: Croakers and drums. In: H.G. Moser (Editor), The early lifestages of fishes in the California current region, California Cooperative Oceanic Fisheries Investigations, Atlas No. 33. p 1017-1033. Allen Press, Inc., Lawrence, Kansas."
"969","Moser, H.G. 1996c.","Scorpaenidae: scorpionfishes and rockfishes. In: H.G. Moser (Editor), The early stages of fishes in the California Current region, California Cooperative Oceanic Fisheries Investigations, Atlas No. 33, p 733-795. Allen Press, Inc., Lawrence, Kansas."
"970","Moser, H.G. and T. Pommeranz. 1998.","Vertical distribution of eggs and larvae of northern anchovy, Engraulis mordax, and of the larvae of two associated fishes at two sites in the Southern California Bight. Fishery Bulletin 97(4):920-943."
"972","Moser, H.G. and W. Watson. 1990.","Distribution and abundance of early life history stages of the California halibut, Paralichthys californicus, and comparison with the fantail sole, Xystreurys liolepis. California Department of Fish and Game 174:31-84."
"974","Moser, H.G., B.Y. Sumida, D.A. Ambrose, E.M. Sandknop, and E.G. Stevens. 1986.","Development and distribution of larvae and pelagic juveniles of ocean whitefish, Caulolatilus princeps, in the CalCOFI survey region. California Cooperative Oceanic Fisheries Investigations Reports 27:162-169."
"976","Moser, H.G., E.H. Ahlstrom, and E.M. Sandknop. 1977.","Guide to the identification of scorpionfish larvae (family Scorpaenidae)in the Eastern Pacific with comparative notes on species of Sebastes and Helicolenus from other oceans. NOAA Technical Report NMFS Circular No. 402. 71 p."
"977","Moser, H.G., D.A. Ambrose, M.S. Busby, J.L. Butler, E.M. Sandknop, B.Y. Sumida, and E.G. Stevens. 1983.","Description of early stages of white seabass, Atractoscion nobilis, with notes on distribution. California Cooperative Oceanic Fisheries Investigations Reports 24:182-193."
"978","Moser pers com.","Author was cited in Cailliet et al. 2000 but the full citation was missing."
"979","Moulton, L.L. 1970.","The 1970 longfin smelt spawning run in Lake Washington with notes on egg development and changes in the population since 1964. M.S. Thesis, University of Washington. 84 p."
"980","Moulton, L.L. 1974.","Abundance, growth, and spawning of the longfin smelt in Lake Washington. Transactions of the American Fishery Society 1:46-52."
"981","Moulton, L.L. 1977.","An ecological analysis of fishes inhabiting the rocky nearshore regions of northern Puget Sound, Washington. Ph.D. Thesis. University of Washington. 182 p."
"982","Moyle, P.B. 1976.","Inland Fishes of California. University of California Press, Berkeley, California. 402 p."
"983","Moyle, P.B. 1992.","Smelt. In: W.S. Leet, C.M. Dewees, and C.W. Haugen (Editors), California's Living Marine Resources and Their Utilization, p 75-78. California Sea Grant Extension Program, Department of Wildlife and Fisheries Biology, University of California, Davis, California Sea Grant Extension Publication UCSGEP-92-12."
"984","Moyle 1996","Author was cited in Cailliet et al. 2000 but the full citation was missing."
"986","Munk, K.M. 2000.","Investigation of sex-specific otolith age-reading error in lingcod (Ophiodon elongatus). Abstract 11th Western Groundfish Conference, April 24-28, 2000, Sitka, Alaska, p. 103."
"987","Murie, D.J. 1994.","Comparative allometric growth of the gastrointestinal tract of two sympatric congeners, copper rockfish (Sebastes caurinus) and quillback rockfish (S. maliger). Journal of Fish Biology 44:597-605."
"988","Murie, D.J. 1995.","Comparative feeding ecology of two sympatric rockfish congeners, Sebastes caurinus (copper rockfish) and S. Maliger (quillback rockfish). Marine Biology 124:341-353."
"989","Murie, D.J., D.C. Parkyn, B.G. Clapp, and G.G. Krause. 1994.","Observations of the distribution and activities of rockfih, Sebastes spp., in Saanich Inlet, British Columbia, from the Pisces IV submersible. Fishery Bulletin 92(2):313-323."
"990","Myers, M.S., C.M. Stehr, O.P. Olson, L.L. Johnson, B.B. McCain, S.-L. Chan, and U. Varanasi. 1994.","Relationship between toxicopathic hepatic lesions and exposure to chemical contaminants in English sole (Pleuronectes vetulus), starry flounder (Platichthys stellatus), and white croaker (Genyonemus lineatus) from selected marine sites on the Pacific Coast, USA. Environmental Health Perspectives 102(2):200-215."
"991","Nammack, M.F., J.A. Musick, and J.A. Colvocoresses. 1985.","Life history of spiny dogfish off the northeastern United States. Transactions of the American Fishery Society 114:367-376."
"992","Natanson, L.J. 1984.","Aspects of the age, growth, and reproduction of the Pacific angel shark, Squatina californica, off Santa Barbara, California. M.A. Thesis, San Jose State University. 71 p."
"993","Natanson, L.J. and G.M. Cailliet. 1990.","Vertebral growth zone deposition in Pacific angel sharks. Copeia 1990(4):1133-1145."
"994","Neal, T.J. 1993.","A test of the function of juvenile color patterns in the pomacentrid fish Hypsypops rubicundus (Teleostei: Pomacentridae). Pacific Science 47(3):240-247."
"995","Neighbors, M.A. and M.H. Horn. 1991.","Nutritional quality of macrophytes eaten and not eaten by two temperate-zone herbivorous fishes: a multivariate comparison. Marine Biology 108:471-476."
"996","Nelson, B.V. and R.R. Vance. 1979.","Diel foraging patterns of the sea urchin Centrostephanus coronatus as a predator avoidance strategy. Marine Biology 51:251-258."
"997","Nelson, D.R. and R.H. Johnson. 1970.","Diel activity rhythms in the nocturnal, bottom-dwelling sharks, Heterodontus francisci and Cephaloscyllium ventriosum. Copeia 1970(4):732-739."
"998","Nishimoto, M.M. 2000.","Distributions of late-larval and pelagic juvenile rockfishes on relation to water masses around the Santa Barbara Channel Islands in early summer, 1996. Proceedings of the Fifth California Islands Symposium, p 483-491."
"999","Norcross, B.L., F. Muter, and B.A. Holladay. 1995.","Habitat models for juvenile plueronectids around Kodiak Island, Alaska, USA. Proceedings of the International Symposium on North Pacific Flatfish. Alaska Sea Grant College Program, Fairbanks, Alaska. p 50-67."
"1000","Norcross, B.L., A. Blanchard, and B.A. Holladay. 1999.","Comparison of models for defining nearshore flatfish nursery areas in Alaskan waters. Fisheries Oceanography 8(1):50-67."
"1001","Norris, K.S. 1963.","The functions of temperature in the ecology of the percoid fish Girella nigricans (Ayres). Ecological Monographs 33(1):23-62."
"1002","Norwell, S.E. 1994.","Observations of the mating behavior and dentition of the round stingray, Urolphus halleri. Environmental Biology of Fishes 39:219-229."
"1003","O'Brien, J.W. and C.F. Valle. In Press (2000).","Food habits of California corbina in southern California. California Department of Fish and Game 85(4)."
