"comm_name","sci_name"
"SEAROBIN, ARMORED ","PERISTEDION MINIATUM"
"SHARK, DOGFISH, CHAIN ","SCYLIORHINUS RETIFER"
"SHARK, HAMMERHEAD, SMOOTH","SPHYRNA ZYGAENA"
"SHARK, HAMMERHEAD, SMOOTH ","SPHYRNA ZYGAENA"
"SHARK, PORBEAGLE","LAMNA NASUS"
"SHARK, WHITE ","CARCHARODON CARCHARIAS"
"SILVERSIDES, ATHERINIDAE (FAMILY) **","ATHERINIDAE"
"SKATE, BARNDOOR ","DIPTURUS LAEVIS"
"SKATE, THORNY ","AMBLYRAJA RADIATA"
"STARGAZER, NORTHERN ","ASTROSCOPUS GUTTATUS"
"STINGRAY, ATLANTIC ","DASYATIS SABINA"
"WHELKS **","MELONGENIDAE"
"WOLFFISH, ATLANTIC ","ANARHICHAS LUPUS"
"ANCHOVY, BAY ","ANCHOA MITCHILLI"
"CLAM, ARK, BLOOD ","ANADARA OVALIS"
"CLAMS, PITAR **","PITAR "
"CRABS, CANCER (GENUS) **","CANCER"
"CRABS, HERMIT, PAGURUS (GENUS) **","PAGURUS"
"CRABS, SPIDER **","MAJIDAE"
"FLOUNDER, GULF STREAM ","CITHARICHTHYS ARCTIFRONS"
"HAKE, SPOTTED ","UROPHYCIS REGIA"
"LANCES, SAND **","AMMODYTES "
"MUSSEL, SLIPPERSHELL ","ALASMIDONTA VIRIDIS"
"PERCHES, TRUE **","PERCIDAE"
"POLYCHAETE, BLOODWORMS ","GLYCERA DIBRANCHIATA"
"PUFFER, SMOOTH ","LAGOCEPHALUS LAEVIGATUS"
"PUMPKINSEED ","LEPOMIS GIBBOSUS"
"SEAROBINS, NORTH AMERICAN **","PRIONOTUS SPP."
"SEAWEED, KELP, FINGERED ","LAMINARIA DIGITATA"
"SEAWEED, ROCKWEEDS **","FUCACEAE"
"SHARK, ANGEL, ATLANTIC ","SQUATINA DUMERIL"
"SHARK, DOGFISH, BLACK ","CENTROSCYLLIUM"
"SHRIMP, NORTHERN ","PANDALUS BOREALIS"
"SHRIMP, PANDALID **","PANDALUS"
"SHRIMPS **","CARIDEA"
"SILVERSIDE, ATLANTIC ","MENIDIA MENIDIA"
"SKATE, BIG ","RAJA BINOCULATA"
"SKATE, ROSETTE ","LEUCORAJA GARMANI"
"SMELTS, HERRING **","ARGENTINIDAE"
"SNAIL, SLIPPER LIMPET ","CREPIDULA FORNICATA"
"SUCKER, WHITE ","CATOSTOMUS COMMERSONII"
"TOMCOD, ATLANTIC ","MICROGADUS TOMCOD"
"CLAM, SURF, ARCTIC ","MACTROMERIS POLYNYMA"
"COMBER, PAINTED ","SERRANUS SCRIBA"
"DRUM, BANDED ","LARIMUS FASCIATUS"
"SHRIMPS, CRANGON **","CRANGONIDAE"
"LAMPREY, SEA ","PETROMYZON MARINUS"
"POLYCHAETE, SANDWORMS **","NEREIS"
"SHINER, GOLDEN ","NOTEMIGONUS"
"BIG ROUGHY","GEPHYROBERYX DARWINII"
"CRAB, PORTLY SPIDER ","LIBINIA EMARGINATA"
"CUCUMBER, ORANGE FOOTED SEA ","CUCUMARIA FRONDOSA"
"HAGFISH, ATLANTIC ","MYXINE GLUTINOSA"
"OYSTER, EDIBLE ","OSTREA EDULIS"
"POLYCHAETE, SEA MOUSE ","APHRODITA HASTATA"
"SEAWEED **","PHAEOPHYTA "
"SEAWEED, BLADDER WRACK ","FUCUS VESICULOSUS"
"SEAWEED, DULSE ","PALMARIA PALMATA"
"SEAWEED, IRISH MOSS ","CHONDRUS CRISPUS"
"SEAWEED, KELP **","LAMINARIA"
"SEAWEED, KELP, SUGAR ","LAMINARIA SACCHARINA"
"SEAWEED, KELP, WINGED ","ALARIA ESCULENTA"
"SEAWEED, ROCKWEED ","ASCOPHYLLUM NODOSUM"
"SEAWEED, WORMWEED **","ASCOPHYLLUM NODOSUM SCORPIOIDES"
"URCHIN, GREEN SEA, (S. DROEBACHIENSIS) ","STRONGYLOCENTROTUS DROEBACHIENSIS"
"CLAM, QUAHOG, FALSE ","PITAR MORRHUANUS"
"CLAM, STOUT TAGELUS (STUBBY RAZOR/BAMBOO) ","TAGELUS PLEBEIUS"
"LITTLE/WINTER SKATE MIX **","LEUCORAJA "
"SCALLOP, ICELAND ","CHLAMYS ISLANDICA"
"TORPEDO, ATLANTIC ","TORPEDO NOBILIANA"
"WOLFFISH, NORTHERN ","ANARHICHAS"
"WOLFFISH, SPOTTED ","ANARHICHAS MINOR"
"STICKLEBACK, NINESPINE ","PUNGITIUS PUNGITIUS"
"BIG ROUGHY ","GEPHYROBERYX DARWINII"
"CRABS, HEMIGRAPSUS **","HEMIGRAPSUS"
"SCAD, ROUGH ","TRACHURUS LATHAMI"
"ABALONE, BLACK ","HALIOTIS CRACHERODII"
"ABALONE, GREEN ","HALIOTIS FULGENS"
"ABALONE, PINK ","HALIOTIS CORRUGATA"
"ABALONE, RED ","HALIOTIS RUFESCENS"
"ABALONE, WHITE ","HALIOTIS SORENSENI"
"ANCHOVIES","ENGRAULIDAE"
"ANCHOVY, NORTHERN","ENGRAULIS MORDAX"
"ANCHOVY, NORTHERN ","ENGRAULIS MORDAX"
"BARRACUDA, PACIFIC","SPHYRAENA ARGENTEA"
"BARRACUDA, PACIFIC ","SPHYRAENA ARGENTEA"
"BASS, WHITE SEA","ATRACTOSCION NOBILIS"
"BASS, WHITE SEA ","ATRACTOSCION NOBILIS"
"BLACKFISH, SACRAMENTO ","ORTHODON MICROLEPIDOTUS"
"BLACKSMITH ","CHROMIS PUNCTIPINNIS"
"BONITO, PACIFIC","SARDA CHILIENSIS"
"BONITO, PACIFIC ","SARDA CHILIENSIS"
"CABEZON","SCORPAENICHTHYS MARMORATUS"
"CABEZON ","SCORPAENICHTHYS MARMORATUS"
"CALICO ROCKFISH","SEBASTES DALLII"
"CLAM, CALIFORNIA JACKKNIFE","ENSIS MYRAE"
"CLAM, CALIFORNIA JACKKNIFE ","ENSIS MYRAE"
"CLAM, PACIFIC RAZOR","SILIQUA PATULA"
"CLAM, PACIFIC, GAPER **","TRESUS"
"CLAM, VARIABLE COQUINA ","DONAX VARIABILIS"
"COD, PACIFIC","GADUS MACROCEPHALUS"
"CRAB, DUNGENESS","CANCER MAGISTER"
"CRAB, RED PACIFIC ","PODOPHTHALMUS VIGIL"
"CRAB, RED ROCK","CANCER PRODUCTUS"
"CRAB, RED ROCK ","CANCER PRODUCTUS"
"CRAB, SOUTHERN TANNER","CHIONOECETES BAIRDI"
"CROAKER, PACIFIC WHITE","GENYONEMUS LINEATUS"
"CROAKER, PACIFIC WHITE ","GENYONEMUS LINEATUS"
"DOLPHINFISH","CORYPHAENA HIPPURUS"
"ECHINODERM **","ECHINODERMATA"
"FLOUNDER, PACIFIC, SANDDAB **","CITHARICHTHYS "
"FLOUNDER, STARRY","PLATICHTHYS STELLATUS"
"FLOUNDER,PACIFIC,SANDDAB","CITHARICHTHYS SORDIDUS"
"FLOUNDER,PACIFIC,SANDDAB,LONGFIN","CITHARICHTHYS XANTHOSTIGMA"
"GREENLING, KELP","HEXAGRAMMOS DECAGRAMMUS"
"GREENLING, KELP ","HEXAGRAMMOS DECAGRAMMUS"
"GREENLINGS **","HEXAGRAMMIDAE"
"GRENADIER, GIANT","LBATROSSIA PECTORALIS"
"GRENADIER, PACIFIC","CORYPHAENOIDES ACROLEPIS"
"HAKE, PACIFIC (WHITING)","MERLUCCIUS PRODUCTUS"
"HAKE, PACIFIC (WHITING) ","MERLUCCIUS PRODUCTUS"
"HALFMOON ","MEDIALUNA CALIFORNIENSIS"
"HALIBUT, CALIFORNIA","PARALICHTHYS CALIFORNICUS"
"HALIBUT, CALIFORNIA ","PARALICHTHYS CALIFORNICUS"
"HALIBUT, PACIFIC","HIPPOGLOSSUS STENOLEPIS"
"HERRING, ROUND","ETRUMEUS TERES"
"JACK MACKEREL","TRACHURUS SYMMETRICUS"
"JACK MACKEREL ","TRACHURUS SYMMETRICUS"
"JACK, YELLOWTAIL","SERIOLA LALANDI"
"JACK, YELLOWTAIL ","SERIOLA LALANDI"
"LINGCOD","OPHIODON ELONGATUS"
"LOBSTER, CALIFORNIA SPINY","PANULIRUS INTERRUPTUS"
"LOBSTER, CALIFORNIA SPINY ","PANULIRUS INTERRUPTUS"
"LOUVAR","LUVARUS IMPERIALIS"
"MACKEREL, BULLET","AUXIS ROCHEI"
"MACKEREL, CHUB","SCOMBER JAPONICUS"
"MUDSUCKER, LONGJAW ","GILLICHTHYS MIRABILIS"
"MUSSEL, CALIFORNIA ","MYTILUS CALIFORNIANUS"
"OPALEYE ","GIRELLA NIGRICANS"
"OYSTER, OLYMPIA","OSTREA CONCHAPHILA"
"OYSTER, PACIFIC","CRASSOSTREA GIGAS"
"PACIFIC HAGFISH","EPTATRETUS STOUTII"
"POMPANO, PACIFIC","PEPRILUS SIMILLIMUS"
"POMPANO, PACIFIC ","PEPRILUS SIMILLIMUS"
"PRICKLEBACK, MONKEYFACE","CEBIDICHTHYS VIOLACEUS"
"PRICKLEBACK, MONKEYFACE ","CEBIDICHTHYS VIOLACEUS"
"QUEENFISH","SERIPHUS POLITUS"
"QUEENFISH ","SERIPHUS POLITUS"
"RATFISH, SPOTTED","HYDROLAGUS COLLIEI"
"RATFISH, SPOTTED ","HYDROLAGUS COLLIEI"
"ROCK BASSES, PACIFIC **","PARALABRAX"
"ROCKFISH, AURORA","SEBASTES AURORA"
"ROCKFISH, AURORA ","SEBASTES AURORA"
"ROCKFISH, BANK","SEBASTES RUFUS"
"ROCKFISH, BANK ","SEBASTES RUFUS"
"ROCKFISH, BLACK","SEBASTES MELANOPS"
"ROCKFISH, BLACK-AND-YELLOW","SEBASTES CHRYSOMELAS"
"ROCKFISH, BLACK-AND-YELLOW ","SEBASTES CHRYSOMELAS"
"ROCKFISH, BLACKGILL","SEBASTES MELANOSTOMUS"
"ROCKFISH, BLACKGILL ","SEBASTES MELANOSTOMUS"
"ROCKFISH, BLUE","SEBASTES MYSTINUS"
"ROCKFISH, BOCACCIO","SEBASTES PAUCISPINIS"
"ROCKFISH, BRONZESPOTTED","SEBASTES GILLI"
"ROCKFISH, BRONZESPOTTED ","SEBASTES GILLI"
"ROCKFISH, BROWN","SEBASTES AURICULATUS"
"ROCKFISH, BROWN ","SEBASTES AURICULATUS"
"ROCKFISH, CANARY","SEBASTES PINNIGER"
"ROCKFISH, CHAMELEON","SEBASTES PHILLIPSI"
"ROCKFISH, CHILIPEPPER","SEBASTES GOODEI"
"ROCKFISH, CHILIPEPPER ","SEBASTES GOODEI"
"ROCKFISH, CHINA","SEBASTES NEBULOSUS"
"ROCKFISH, COPPER","SEBASTES CAURINUS"
"ROCKFISH, COWCOD","SEBASTES LEVIS"
"ROCKFISH, COWCOD ","SEBASTES LEVIS"
"ROCKFISH, DARKBLOTCHED","SEBASTES CRAMERI"
"ROCKFISH, FLAG","SEBASTES RUBRIVINCTUS"
"ROCKFISH, FLAG ","SEBASTES RUBRIVINCTUS"
"ROCKFISH, GOPHER","SEBASTES CARNATUS"
"ROCKFISH, GOPHER ","SEBASTES CARNATUS"
"ROCKFISH, GRASS","SEBASTES RASTRELLIGER"
"ROCKFISH, GRASS ","SEBASTES RASTRELLIGER"
"ROCKFISH, GREENBLOTCHED","SEBASTES ROSENBLATTI"
"ROCKFISH, GREENBLOTCHED ","SEBASTES ROSENBLATTI"
"ROCKFISH, GREENSPOTTED","SEBASTES CHLOROSTICTUS"
"ROCKFISH, GREENSPOTTED ","SEBASTES CHLOROSTICTUS"
"ROCKFISH, GREENSTRIPED","SEBASTES ELONGATUS"
"ROCKFISH, HONEYCOMB","SEBASTES UMBROSUS"
"ROCKFISH, KELP","SEBASTES ATROVIRENS"
"ROCKFISH, KELP ","SEBASTES ATROVIRENS"
"ROCKFISH, OLIVE","SEBASTES SERRANOIDES"
"ROCKFISH, OLIVE ","SEBASTES SERRANOIDES"
"ROCKFISH, PACIFIC OCEAN PERCH","SEBASTES ALUTUS"
"ROCKFISH, PINK","SEBASTES EOS"
"ROCKFISH, PINKROSE","SEBASTES SIMULATOR"
"ROCKFISH, PINKROSE ","SEBASTES SIMULATOR"
"ROCKFISH, REDBANDED","SEBASTES BABCOCKI"
"ROCKFISH, REDSTRIPE","SEBASTES PRORIGER"
"ROCKFISH, ROSY","SEBASTES ROSACEUS"
"ROCKFISH, ROSY ","SEBASTES ROSACEUS"
"ROCKFISH, ROUGHEYE","SEBASTES ALEUTIANUS"
"ROCKFISH, SHARPCHIN","SEBASTES ZACENTRUS"
"ROCKFISH, SHORTBELLY","SEBASTES JORDANI"
"ROCKFISH, SHORTBELLY ","SEBASTES JORDANI"
"ROCKFISH, SILVERGRAY","SEBASTES BREVISPINIS"
"ROCKFISH, SPECKLED","SEBASTES OVALIS"
"ROCKFISH, SPECKLED ","SEBASTES OVALIS"
"ROCKFISH, SPLITNOSE","SEBASTES DIPLOPROA"
"ROCKFISH, SPLITNOSE ","SEBASTES DIPLOPROA"
"ROCKFISH, SQUARESPOT","SEBASTES HOPKINSI"
"ROCKFISH, SQUARESPOT ","SEBASTES HOPKINSI"
"ROCKFISH, STARRY","SEBASTES CONSTELLATUS"
"ROCKFISH, STRIPETAIL","SEBASTES SAXICOLA"
"ROCKFISH, SWORDSPINE","SEBASTES ENSIFER"
"ROCKFISH, SWORDSPINE ","SEBASTES ENSIFER"
"ROCKFISH, TREEFISH","SEBASTES SERRICEPS"
"ROCKFISH, TREEFISH ","SEBASTES SERRICEPS"
"ROCKFISH, VERMILION","SEBASTES MINIATUS"
"ROCKFISH, WIDOW","SEBASTES ENTOMELAS"
"ROCKFISH, YELLOWEYE","SEBASTES RUBERRIMUS"
"ROCKFISH, YELLOWMOUTH","SEBASTES REEDI"
"ROCKFISH, YELLOWTAIL","SEBASTES FLAVIDUS"
"SABLEFISH","ANOPLOPOMA FIMBRIA"
"SAILFISH","ISTIOPHORUS PLATYPTERUS"
"SALMON, CHINOOK","ONCORHYNCHUS TSHAWYTSCHA"
"SALMON, CHUM","ONCORHYNCHUS KETA"
"SALMON, COHO","ONCORHYNCHUS KISUTCH"
"SALMON, PINK","ONCORHYNCHUS GORBUSCHA"
"SARDINE, PACIFIC","SARDINOPS SAGAX"
"SARDINE, PACIFIC ","SARDINOPS SAGAX"
"SAURY, PACIFIC","COLOLABIS SAIRA"
"SAURY, PACIFIC ","COLOLABIS SAIRA"
"SEA BASS, GIANT","STEREOLEPIS GIGAS"
"SHAD, AMERICAN","ALOSA SAPIDISSIMA"
"SHARK, BROWN CAT","ARPISTURUS BRUNNEUS"
"SHARK, DOGFISH, SPINY","SQUALUS ACANTHIAS"
"SHARK, LEOPARD","TRIAKIS SEMIFASCIATA"
"SHARK, LEOPARD ","TRIAKIS SEMIFASCIATA"
"SHARK, PACIFIC ANGEL","SQUATINA CALIFORNICA"
"SHARK, PACIFIC ANGEL ","SQUATINA CALIFORNICA"
"SHARK, THRESHER, BIGEYE","ALOPIAS SUPERCILIOSUS"
"SHEEPHEAD, CALIFORNIA","SEMICOSSYPHUS PULCHER"
"SHEEPHEAD, CALIFORNIA ","SEMICOSSYPHUS PULCHER"
"SHRIMP, BRINE","ARTEMIA SALINA"
"SHRIMP, BRINE ","ARTEMIA SALINA"
"SHRIMP, GHOST **","CALLIANASSIDAE"
"SHRIMP, OCEAN","PANDALUS JORDANI"
"SHRIMP, PACIFIC ROCK","SICYONIA INGENTIS"
"SHRIMP, PACIFIC ROCK ","SICYONIA INGENTIS"
"SHRIMP, SPOT","PANDALUS PLATYCEROS"
"SHRIMP, SPOT ","PANDALUS PLATYCEROS"
"SIERRA, PACIFIC ","SCOMBEROMORUS SIERRA"
"SKATE, BIG","RAJA BINOCULATA"
"SKATE, BLACK","BATHYRAJA TRACHURA"
"SKATE, CALIFORNIA","RAJA INORNATA"
"SKATE, CALIFORNIA ","RAJA INORNATA"
"SKATE, ROUGHTAIL","RAJA TRACHURA"
"SKATE, SANDPAPER","BATHYRAJIA INTERRUPTA"
"SMELT, WHITEBAIT ","ALLOSMERUS ELONGATUS"
"SOLE, BUTTER","ISOPSETTA ISOLEPIS"
"SOLE, C-O","PLEURONICHTHYS COENOSUS"
"SOLE, C-O ","PLEURONICHTHYS COENOSUS"
"SOLE, CURLFIN","PLEURONICHTHYS DECURRENS"
"SOLE, CURLFIN ","PLEURONICHTHYS DECURRENS"
"SOLE, DEEPSEA","EMBASSICHTHYS"
"SOLE, DOVER","MICROSTOMUS PACIFICUS"
"SOLE, ENGLISH","PAROPHRYS VETULUS"
"SOLE, FANTAIL","XYSTREURYS LIOLEPIS"
"SOLE, FANTAIL ","XYSTREURYS LIOLEPIS"
"SOLE, FLATHEAD","HIPPOGLOSSOIDES ELASSODON"
"SOLE, PETRALE","EOPSETTA JORDANI"
"SOLE, REX","GLYPTOCEPHALUS ZACHIRUS"
"SOLE, ROCK","PARAPLAGUSIA BILINEATA"
"SOLE, SAND","PSETTICHTHYS MELANOSTICTUS"
"SOLE, SLENDER","LYOPSETTA EXILIS"
"SPLITTAIL ","POGONICHTHYS MACROLEPIDOTUS"
"SQUAWFISHES **","PTYCHOCHEILUS"
"SQUID, CALIFORNIA MARKET","LOLIGO OPALESCENS"
"SUNFISH, OCEAN","MOLA MOLA"
"SURFPERCHES **","EMBIOTOCIDAE"
"THORNYHEAD, LONGSPINE","SEBASTOLOBUS ALTIVELIS"
"THORNYHEAD, SHORTSPINE","SEBASTOLOBUS ALASCANUS"
"THORNYHEAD, SHORTSPINE ","SEBASTOLOBUS ALASCANUS"
"TOMCOD, PACIFIC","MICROGADUS PROXIMUS"
"TUNA, BLACK SKIPJACK","EUTHYNNUS LINEATUS"
"TUNA, BLACK SKIPJACK ","EUTHYNNUS LINEATUS"
"TUNA, BLUEFIN PACIFIC","THUNNUS ORIENTALIS"
"TURBOT, DIAMOND","HYPSOPSETTA GUTTULATA"
"TURBOT, HORNYHEAD","PLEURONICHTHYS VERTICALIS"
"WAHOO","ACANTHOCYBIUM SOLANDRI"
"WHALES **","CETACEA"
"WHITEFISH, OCEAN","CAULOLATILUS PRINCEPS"
"WITHHELD FOR CONFIDENTIALITY","OTHER"
"WOLF-EEL","ANARRHICHTHYS OCELLATUS"
"WOLF-EEL ","ANARRHICHTHYS OCELLATUS"
"CLAM, PACIFIC LITTLENECK","PROTOTHACA STAMINEA"
"CLAM, SOFT","MYA ARENARIA"
"COCKLE, NUTTALL","CLINOCARDIUM NUTTALLII"
"FLOUNDER,PACIFIC,SANDDAB ","CITHARICHTHYS SORDIDUS"
"MUSSEL, CALIFORNIA","MYTILUS CALIFORNIANUS"
"MUSSEL, SEA","MYTILUS EDULIS"
"PACIFIC LAMPREY","ENTOSPHENUS"
"SALMON, SOCKEYE","ONCORHYNCHUS NERKA"
"SHRIMP, BLUE MUD","UPOGEBIA PUGETTENSIS"
"SHRIMP, BLUE MUD ","UPOGEBIA PUGETTENSIS"
"SMELT, EULACHON","THALEICHTHYS PACIFICUS"
"STURGEON, GREEN","ACIPENSER MEDIROSTRIS"
"STURGEON, GREEN ","ACIPENSER MEDIROSTRIS"
"STURGEON, WHITE","ACIPENSER TRANSMONTANUS"
"STURGEON, WHITE ","ACIPENSER TRANSMONTANUS"
"TROUT, RAINBOW","ONCORHYNCHUS MYKISS"
"CAPELIN","MALLOTUS VILLOSUS"
"CLAM, MANILA","CORBICULA MANILENSIS"
"CLAM, MANILA ","CORBICULA MANILENSIS"
"GENEROSA, PANOPEA","PANOPEA GENEROSA"
"BASSLET, CANDY ","LIOPROPOMA CARMABI"
"CRABS, HORSESHOE **","LIMULUS"
"GRUNT, WHITE","HAEMULON PLUMIERII"
"ISOPODS, GIANT **","BATHYONUS"
"SHARK, REEF ","CARCHARHINUS PEREZII"
"SNAIL, EASTERN MUD ","NASSARIUS OBSOLETUS"
"BARRACUDAS, SPHYRAENA (GENUS) **","SPHYRAENA SPP."
"JELLYFISH, CANNONBALL ","STOMOLOPHUS MELEAGRIS"
"PRAWN, GIANT TIGER ","PENAEUS MONODON"
"CLAM, RANGIA, ATLANTIC  ","RANGIA CUNEATA"
"MUSSEL, RIBBED ","GEUKENSIA DEMISSA"
"PORGY, SAUCEREYE ","CALAMUS CALAMUS"
"SKIPPERS **","TYLOSURUS"
"SNAIL, SHARK EYE ","Polinices duplicatus"
"ANGELFISHES **","POMACANTHIDAE"
"BURRFISHES **","CHILOMYCTERUS SPP."
"CHOICE, SAILORS ","HAEMULON PARRA"
"FILEFISH, UNICORN ","ALUTERUS MONOCEROS"
"GRUNT, WHITE ","HAEMULON PLUMIERII"
"PERCH, SILVER ","BAIRDIELLA CHRYSOURA"
"WHELKS, BUSYCON **","BUSYCON"
