Release date,Department,Year,Date,Species (parts),Fishery type,Action (close/open),base on assumption,Reason,Type of Action,Where,S. Latitude (°N),N. Latitude (°N),Source,Link,Notes
"February 6, 2019",WDFW,2019,02-11-2019,Dungeness Crab,commercial,close,,SMA,gear reduction,Makah SMA,48.02,48.195,WDFW,https://wdfw.wa.gov/sites/default/files/fishing/commercial/crab/coastal/2019/06feb_2019_notice.pdf,
"February 27, 2019",WDFW,2019,03-13-2019,Dungeness Crab,commercial,open,,SMA,gear reduction,Makah SMA,48.02,48.195,PSMFC,http://www.psmfc.org/crab/2018-2019%20Files/Crab%20notice%2003072019.pdf,
"January 9, 2019",WDFW,2019,01-10-2019,Dungeness Crab,commercial,open,,body condition,closure,Klipsan Beach to Destruction Island,46.28,47.405,WDFW,https://wdfw.wa.gov/sites/default/files/fishing/commercial/crab/coastal/2019/09jan_2019_notice.pdf,Not clear the reason of the delay
"February 27, 2019",WDFW,2019,03-04-2019,Dungeness Crab,commercial,close,,SMA,gear reduction,Split Rock to Raft River,47.245,47.28,PSMFC,http://www.psmfc.org/crab/2018-2019%20Files/Crab%20notice%2003072019.pdf,
"February 27, 2019",WDFW,2019,04-04-2019,Dungeness Crab,commercial,open,yes,SMA,gear reduction,Split Rock to Raft River,47.245,47.28,PSMFC,http://www.psmfc.org/crab/2018-2019%20Files/Crab%20notice%2003072019.pdf,
"February 27, 2019",WDFW,2019,03-04-2019,Dungeness Crab,commercial,close,,SMA,gear reduction,Copalis River to Joe Creek,47.08,47.1225,PSMFC,http://www.psmfc.org/crab/2018-2019%20Files/Crab%20notice%2003072019.pdf,
"February 27, 2019",WDFW,2019,04-04-2019,Dungeness Crab,commercial,open,yes,SMA,gear reduction,Copalis River to Joe Creek,47.08,47.1225,PSMFC,http://www.psmfc.org/crab/2018-2019%20Files/Crab%20notice%2003072019.pdf,
"April 3, 2019",WDFW,2019,04-08-2019,Dungeness Crab,commercial,close,,SMA,gear reduction,Joe Creek to Point Grenville,47.1225,47.1835,PSMFC,http://www.psmfc.org/crab/2018-2019%20Files/Industry%20Notice%204%208%2019.open%20QIN%20SMA%20to%20Pt.%20G.FINAL.pdf,
"April 29, 2019",WDFW,2019,05-01-2019,Dungeness Crab,commercial,close,,SMA,gear reduction,"Quinault SMA, Copalis River to Raft River",47.08,47.28,PSMFC,http://www.psmfc.org/crab/2018-2019%20Files/Industry%20Notice%2004.29.19.opening%20remaining%20QIN.SMA.and%20QUIL.SMA.FINAL.pdf,
"December 6, 2019",WDFW,2019,12-01-2019,Dungeness Crab,commercial,close,,body condition,closure,"CA, OR, WA",38.7666488,48.48,PSMFC,http://www.psmfc.org/crab/2019%20-2020%20files/Industry%20Notice%2012.6.19%20FINAL.pdf,
"December 20, 2019",WDFW,2019,12-31-2019,Dungeness Crab,commercial,open,,body condition,closure,Point Arenas CA to OR- WA border,38.908,46.15,PSMFC,http://www.psmfc.org/crab/2019%20-2020%20files/Industry%20Notice%20S.%20of%20Klipsan%20opening%2012.20.19_FINAL.pdf,
"December 20, 2019",WDFW,2019,12-31-2019,Dungeness Crab,commercial,close,,head-start,gear reduction,OR- WA border to Klipsan Beach,46.15,46.28,PSMFC,http://www.psmfc.org/crab/2019%20-2020%20files/Industry%20Notice%20S.%20of%20Klipsan%20opening%2012.20.19_FINAL.pdf,
"January 9, 2020",WDFW,2019,1-22-2020,Dungeness Crab,commercial,open,,head-start,gear reduction,OR- WA border to Klipsan Beach,46.15,46.28,PSMFC,http://www.psmfc.org/crab/2019%20-2020%20files/Industry%20Notice%20N%20of%20Klipsan%20opener.01.09.20.FINAL.pdf,
"January 9, 2020",WDFW,2020,01-25-2020,Dungeness Crab,commercial,open,,head-start,closure,Klipsan Beach to WA-Canada border,46.28,48.48,PSMFC,http://www.psmfc.org/crab/2019%20-2020%20files/Industry%20Notice%20N%20of%20Klipsan%20opener.01.09.20.FINAL.pdf,
"January 9, 2020",WDFW,2020,01-22-2020,Dungeness Crab,commercial,close,,SMA,closure,"Quinault SMA, Copalis River to Raft River",47.08,47.28,PSMFC,http://www.psmfc.org/crab/2019%20-2020%20files/Industry%20Notice%20N%20of%20Klipsan%20opener.01.09.20.FINAL.pdf,
"January 9, 2020",WDFW,2020,01-22-2020,Dungeness Crab,commercial,close,,SMA,closure,"Quileute SMA, Destruction Island to Cape Johnson",47.405,47.58,PSMFC,http://www.psmfc.org/crab/2019%20-2020%20files/Industry%20Notice%20N%20of%20Klipsan%20opener.01.09.20.FINAL.pdf,
"January 9, 2020",WDFW,2020,05-01-2020,Dungeness Crab,commercial,close,,SMA,gear reduction,"Quileute SMA, Destruction Island to Cape Johnson",47.405,47.58,PSMFC,http://www.psmfc.org/crab/2019%20-2020%20files/Industry%20Notice%20N%20of%20Klipsan%20opener.01.09.20.FINAL.pdf,
"January 9, 2020",WDFW,2020,06-01-2020,Dungeness Crab,commercial,open,,SMA,gear reduction,"Quileute SMA, Destruction Island to Cape Johnson",47.405,47.58,PSMFC,http://www.psmfc.org/crab/2019%20-2020%20files/Industry%20Notice%20N%20of%20Klipsan%20opener.01.09.20.FINAL.pdf,
"January 9, 2020",WDFW,2020,01-22-2020,Dungeness Crab,commercial,close,,SMA,closure,Makah SMA,48.02,48.195,PSMFC,http://www.psmfc.org/crab/2019%20-2020%20files/Industry%20Notice%20N%20of%20Klipsan%20opener.01.09.20.FINAL.pdf,
"January 9, 2020",WDFW,2020,02-21-2020,Dungeness Crab,commercial,close,,SMA,gear reduction,Makah SMA,48.02,48.195,PSMFC,http://www.psmfc.org/crab/2019%20-2020%20files/Industry%20Notice%20N%20of%20Klipsan%20opener.01.09.20.FINAL.pdf,
"January 9, 2020",WDFW,2020,03-22-2020,Dungeness Crab,commercial,open,,SMA,gear reduction,Makah SMA,48.02,48.195,PSMFC,http://www.psmfc.org/crab/2019%20-2020%20files/Industry%20Notice%20N%20of%20Klipsan%20opener.01.09.20.FINAL.pdf,
"March 16, 2020",WDFW,2020,03-18-2020,Dungeness Crab,commercial,close,,SMA,gear reduction,Split Rock to Raft River,47.245,47.28,WDFW,https://wdfw.wa.gov/sites/default/files/2020-03/industrynotice031620open_northen_portion_qinsma_.pdf,
"March 16, 2020",WDFW,2020,04-17-2020,Dungeness Crab,commercial,open,,SMA,gear reduction,Split Rock to Raft River,47.245,47.28,WDFW,https://wdfw.wa.gov/sites/default/files/2020-03/industrynotice031620open_northen_portion_qinsma_.pdf,
"November 19, 2020",WDFW,2020,12-01-2020,Dungeness Crab,commercial,close,,body condition,closure,"CA, OR, WA",38.7666488,48.48,WDFW,https://wdfw.wa.gov/sites/default/files/2020-11/coastal_crab_notice_19november2020.pdf,
"December 8, 2020",WDFW,2020,12-01-2020,Dungeness Crab,commercial,close,,domoic acid,closure,Cape Falcon OR to WA-Canada border,45.46,48.48,WDFW,https://wdfw.wa.gov/sites/default/files/2020-12/coastal_crab_notice_08dec2020.pdf,
"February 9, 2021",WDFW,2021,02-16-2021,Dungeness Crab,commercial,open,,domoic acid,closure,OR-WA border to WA-Canada Border,46.15,48.48,WDFW,https://wdfw.wa.gov/sites/default/files/2021-02/coastal_crab_notice_09feb2021.pdf,
"February 9, 2021",WDFW,2021,02-16-2021,Dungeness Crab,commercial,close,,domoic acid,evisceration order,OR-WA border to Point Chehalis,46.15,46.5318,PSMFC,http://www.psmfc.org/crab/2020-2021%20files/WA20210209_Industry%20notice.pdf,
"February 9, 2021",WDFW,2021,02-13-2021,Dungeness Crab,commercial,close,,SMA,closure,"Quinault SMA, Copalis River to Raft River",47.08,47.28,PSMFC,http://www.psmfc.org/crab/2019%20-2020%20files/Industry%20Notice%20N%20of%20Klipsan%20opener.01.09.20.FINAL.pdf,
"February 9, 2021",WDFW,2021,02-13-2021,Dungeness Crab,commercial,close,,SMA,closure,"Quileute SMA, Destruction Island to Cape Johnson",47.405,47.58,PSMFC,http://www.psmfc.org/crab/2019%20-2020%20files/Industry%20Notice%20N%20of%20Klipsan%20opener.01.09.20.FINAL.pdf,
"February 9, 2021",WDFW,2021,02-13-2021,Dungeness Crab,commercial,close,,SMA,closure,Makah SMA,48.02,48.195,PSMFC,http://www.psmfc.org/crab/2020-2021%20files/WA20210209_Industry%20notice.pdf,
"March 22, 2021",WDFW,2021,03-22-2021,Dungeness Crab,commercial,close,,SMA,gear reduction,Makah SMA,48.02,48.195,PSMFC,http://www.psmfc.org/crab/2020-2021%20files/WA_Industry%20Notice.03.22.21.Makah%20SMA.pdf,
"March 22, 2021",WDFW,2021,04-18-2021,Dungeness Crab,commercial,open,,SMA,gear reduction,Makah SMA,48.02,48.195,PSMFC,http://www.psmfc.org/crab/2020-2021%20files/WA_Industry%20Notice.03.22.21.Makah%20SMA.pdf,
"March 30, 2021",WDFW,2021,04-03-2021,Dungeness Crab,commercial,close,,SMA,gear reduction,Split Rock to Raft River,47.245,47.28,PSMFC,http://www.psmfc.org/crab/2020-2021%20files/WA_Industry.Notice.03.30.21.open%20northen%20portion%20QIN.SMA.pdf,
"March 30, 2021",WDFW,2021,05-01-2021,Dungeness Crab,commercial,open,,SMA,gear reduction,Split Rock to Raft River,47.245,47.28,PSMFC,http://www.psmfc.org/crab/2020-2021%20files/WA_Industry.Notice.03.30.21.open%20northen%20portion%20QIN.SMA.pdf,
"April 12, 2021",WDFW,2021,05-01-2021,Dungeness Crab,commercial,close,,SMA,gear reduction,"Quileute SMA, Destruction Island to Cape Johnson",47.405,47.58,PSMFC,http://www.psmfc.org/crab/2020-2021%20files/WA_Industry%20Notice%2004.12.21.open.QIN.SMA%20to%20Joe%20Creek_FINAL.pdf,
"April 12, 2021",WDFW,2021,06-01-2021,Dungeness Crab,commercial,open,,SMA,gear reduction,"Quileute SMA, Destruction Island to Cape Johnson",47.405,47.58,PSMFC,http://www.psmfc.org/crab/2020-2021%20files/WA_Industry%20Notice%2004.12.21.open.QIN.SMA%20to%20Joe%20Creek_FINAL.pdf,
"April 12, 2021",WDFW,2021,04-16-2021,Dungeness Crab,commercial,close,,SMA,gear reduction,Copalis River to Joe Creek,47.08,47.1225,PSMFC,http://www.psmfc.org/crab/2020-2021%20files/WA_Industry%20Notice%2004.12.21.open.QIN.SMA%20to%20Joe%20Creek_FINAL.pdf,
"March 1, 2021",WDFW,2021,03-01-2021,Dungeness Crab,commercial,close,,domoic acid,evisceration order,"Grays Harbor, Area 60B",,,PSMFC,http://www.psmfc.org/crab/2020-2021%20files/WA_Industry.Notice.Season.03.01.21.FINAL.pdf,
"April 5, 2021",WDFW,2021,04-05-2021,Dungeness Crab,commercial,open,,domoic acid,evisceration order,"Grays Harbor, Area 60B",,,PSMFC,http://www.psmfc.org/crab/2020-2021%20files/WA_Industry.Notice.Season.04.05.21.FINAL.pdf,
"April 15, 2021",WDFW,2021,04-15-2021,Dungeness Crab,commercial,open,,domoic acid,evisceration order,OR-WA border to Point Chehalis,46.15,46.5318,PSMFC,http://www.psmfc.org/crab/2020-2021%20files/WA_Industry.Notice.Season.04.15.21.FINAL.pdf,
